编号,色号,名称,颜色
1,001,白色,#FFFFFF
2,002,浅灰,#C8C8C8
3,003,中灰,#9E9E9E
4,004,深灰,#616161
5,005,黑色,#1B1B1B
6,006,米白,#F5EBDD
7,007,奶黄,#FFF3B0
8,008,柠檬黄,#FFEB3B
9,009,明黄,#FFD400
10,010,橘黄,#FFB300
11,011,橙色,#FF9800
12,012,深橙,#F57C00
13,013,橙红,#FF7043
14,014,大红,#E53935
15,015,深红,#C62828
16,016,酒红,#8E2430
17,017,浅粉,#F8BBD0
18,018,桃粉,#F48FB1
19,019,玫红,#E91E63
20,020,紫红,#AD1457
21,021,浅紫,#CE93D8
22,022,紫色,#AB47BC
23,023,深紫,#7B1FA2
24,024,蓝紫,#5E35B1
25,025,浅蓝,#81D4FA
26,026,天蓝,#29B6F6
27,027,蓝色,#1E88E5
28,028,深蓝,#1565C0
29,029,藏青,#283593
30,030,蓝黑,#1A237E
31,031,青色,#00BCD4
32,032,浅青,#80DEEA
33,033,湖蓝,#0097A7
34,034,深青,#006064
35,035,薄荷,#A5D6A7
36,036,浅绿,#AED581
37,037,草绿,#8BC34A
38,038,绿色,#43A047
39,039,深绿,#2E7D32
40,040,墨绿,#1B5E20
41,041,黄绿,#C0CA33
42,042,橄榄,#9E9D24
43,043,浅棕,#BCAAA4
44,044,卡其,#A1887F
45,045,棕色,#8D6E63
46,046,深棕,#6D4C41
47,047,巧克力,#4E342E
48,048,肤色,#FFCCBC
